slug,name,version,url,description,adoption_level,technology_readiness,tags,notes,governance
blacklight,Blacklight,,https://github.com/projectblacklight/blacklight,Blacklight is an open source Solr user interface discovery platform. You can use Blacklight to enable searching and browsing of your collections. Blacklight uses the Apache Solr search engine to search full text and/or metadata. Blacklight has a highly configurable Ruby on Rails front-end. Blacklight was originally developed at the University of Virginia Library and is made public under an Apache 2.0 license.,significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
c,C,,,,significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
content_mine,Content Mine,,http://contentmine.org/text-and-data-mining-tools/,Text and Data Mining Tools,not_classified,tr6_technology_demonstrated_in_relevant_environment,,,not_classified
counter,Counter,,https://www.projectcounter.org/,"COUNTER provides the standard that enables the knowledge community to count the use of electronic resources. Known as the Code of Practice, the standard ensures vendors and publishers can provide their library customers with consistent, credible and comparable usage data.",significant,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
css,CSS,,,,ubiquitous,tr9_actual_system_proven_in_operational_environment,,,not_classified
dataverse,Dataverse,4,https://github.com/IQSS/dataverse,,significant,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
dokieli,dokieli,current,https://dokie.li/,"dokieli is a general-purpose client-side tool for decentralised article publishing, annotations and social interactions based on open Web standards and best practices. dokieli positions itself in a decentralised and interoperable information space where researchers can exercise their autonomy by controlling their identifiers and identities whilst fulfilling the core functions of scientific communication (registration, awareness, certification, archiving).",not_classified,not_classified,distributed,,not_classified
dspace,DSpace,7,https://duraspace.org/dspace/,,significant,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
editoria,Editoria,Momenvasia (April 2019),https://editoria.pub/,"Editoria is an open-source authoring, editing, and workflow system initially developed by Coko in partnership with the Editoria community underwritten by fiscal sponsor Aspiration Tech and funded by the Mellon Foundation. Editoria is a web-based tool for producing scholarly monographs in both print and ebook forms. Coko’s PubSweet framework and Wax editor are underlying technologies in Editoria. Paged.js is available as a print production pathway, as are other format outputs.",not_classified,tr9_actual_system_proven_in_operational_environment,,,not_classified
electric_book,Electric Book Manager,0.15,http://electricbook.works/,"Electric Book is a Jekyll-based tool for producing print PDF, digital PDF, EPUB, website, and app versions of books from a single markdown, YAML, and HTML-based content source. It was developed by consultancy and service provider Electric Book Works.",significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
enhanced_networked_monographs,Enhanced Networked Monographs,ENM search application: v1.1.3,https://wp.nyu.edu/enmproject/,"Enhanced Networked Monographs (ENM) is an experimental project developed by New York University. It provides a free platform for topic-based and full-text searching on a corpus of books from NYU Press, University of Minnesota Press, and the University of Michigan Press. The platform consists of the ENM search application plus generated topic pages and the customized version of the Topic Curation Toolkit (TCT) used to power/generate them.",limited,not_classified,,,not_classified
episciences,épisciences.org,,https://www.episciences.org/?lang=en,Episciences.org is an innovative combination of the two routes of free access: the gold route by hosting journals in open access (overlay journals) and the green route where articles are submitted to these journals by depositing them in an open archive. The editorial boards of such epijournals organize peer reviewing and scientific discussion of selected or submitted preprints. Epijournals can thus be considered as “overlay journals” built above the open archives; they add value to these archives by attaching a scientific caution to the validated papers.,limited,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
eprints,EPrints Services,,https://www.eprints.org/uk/index.php/services/repository-hosting-0/,EPrints Services offers fully managed and supported EPrints based repository services at our commercially run hosting providers.,significant,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
epub_js,epub.js,0.3.73,http://futurepress.org/,"epub.js is a JavaScript library that provides a robust drop-in EPUB reader application to any website, providing styling, pagination, and persistence. The project comes from FuturePress, an offshoot of the UC Berkeley School of Information.",not_classified,not_classified,,,not_classified
fedora,Fedora,5,https://duraspace.org/fedora/,,significant,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
fidus_writer,Fidus Writer,3.6.5,https://www.fiduswriter.org/,"Fidus Writer is a web-based, collaborative editor made for academics who need to use citations and/or formulas. Fidus Writer offers a visual editing interface, real-time editing collaboration, a commenting/review workflow system, and a variety of export formats. Fidus provides hosting and styled templates for a monthly fee.",not_classified,tr9_actual_system_proven_in_operational_environment,,,not_classified
fulcrum,Fulcrum,2.38 (Heliotrope),http://fulcrum.org,"Fulcrum is the University of Michigan Library's ebook hosting, preservation, and media integration platform, devloped on top of the Samvera repository platform. Fulcrum allows authors and publishers to integrate multimedia elements into a book—linked from a print book or directly integrated in an ebook—while providing a robust, richly described, and accessible reader environment and a discoverability platform for ebook collections. Fulcrum is a platform available to UMichigan Press authors, as well as a service offered to other publishers. Fulcrum makes use of epub.js, AblePlayer, Hypothes.is, and Editoria (in testing) to provide basic and enhanced functionality.",limited,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
go,Go,,,,significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
grobid,Grobid,0.5.4,https://grobid.readthedocs.io/en/latest/Introduction/,"GROBID (or Grobid) stands for GeneRation Of BIbliographic Data. It is a machine-learning library for extracting, parsing, and re-structuring journal articles in PDF format into structured TEI-encoded documents that can then be transformed to JATS XML. Grobid represents a best-of-breed example (see https://arxiv.org/abs/1802.01168) of the shift from traditional parser-based approaches to machine-learning models for converting legacy documents to XML. Grobid is employed in the PKP's Open Typesetting Stack.",not_classified,not_classified,,,not_classified
haplo_repository,Haplo Repository,,https://github.com/haplo-org/haplo-repository,,limited,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
haskell,Haskell,,,,limited,tr9_actual_system_proven_in_operational_environment,,,not_classified
heliotrope,Heliotrope,,https://github.com/mlibrary/heliotrope,"Heliotrope is the codebase behind the Fulcrum publishing platform. It is a Rails application that extends Hyrax–the popular front-end repository solution from the Samvera open source community–to provide solutions for scholarly publishers. It is built by the University of Michigan Library and managed by the Library's publishing division, Michigan Publishing.",not_classified,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
hirmeos_oa_metrics,HIRMEOS OA Metrics,current,https://metrics.operas-eu.org/docs/getting-started,"Born out of the OPERAS project: European Research Infrastructure for the development of open scholarly communication in the social sciences and humanities; HIRMEOS seeks to build functionality for research monographs in the European open-science infrastructure. This metrics project normalizes book identifiers (ISBNs, DOIs), provides modular ""drivers"" to gather various metrics (Google Analytics, JSTOR, COUNTER, etc.) and altmetrics (social media sources), and then aggregates these so publishers have access to usage and traffic data on ebooks. The usage data code has been developed by the UK-based Open Book Publishers. Altmetrics code has been developed by Ubiquity Press.",not_classified,not_classified,,,not_classified
html,HTML,,,,ubiquitous,tr9_actual_system_proven_in_operational_environment,,,not_classified
hugo,Hugo,,https://gohugo.io,"Hugo is one of the most popular open-source static site generators. With its amazing speed and flexibility, Hugo makes building websites fun again.",significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
hy-phen,Hy-phen,1.1.1,https://github.com/ytiurin/hyphen,Hy­-phen is a JavaScript implementation of Francis Liang's TeX hyphenation algorithm.,not_classified,not_classified,,,not_classified
hyku,Hyku,,https://hyku.samvera.org,"The Digital Public Library of America (DPLA), Stanford University and DuraSpace partnered to extend the existing Samvera community (formerly ""Hydra project"") codebase and its vibrant and growing community to build, bundle, and promote a feature-rich, robust, flexible digital repository that is easy to install, configure, and maintain. Initially developed under the “Hydra-in-a-Box” label, the product of this collaborative effort is Hyku, a next-generation repository solution. Hyku works for institutions large and small, incorporating the capabilities and affordances to support networked resources and services in a shared, sustainable, national platform. The overall intent is to develop a digital collections platform that is not just ""on the web,"" but ""of the web."" With funding from the Institute of Museum and Library Services, the collaborative project kicked off in 2015. In 2017, Hyku entered beta, and in February 2019, it was promoted out of Samvera Labs. Ongoing development of Hyku is guided by the Samvera community via the Hyku Interest Group and associated partners.",limited,tr9_actual_system_proven_in_operational_environment,,,not_classified
hykuup,HykuUP,,https://www.hykuup.com,"HykuUP opens the door to digital repository resources for your institution. Hyku is a user-friendly, feature rich application that connects libraries, museums, and other institutions to Samvera digital repository software. HykuUP boxes the benefits of Hyku into a hosted, easy-to-manage package that can be uniquely customized for your organization.",not_classified,not_classified,,,not_classified
hyphenopoly,Hyphenopoly,3.0.2,http://mnater.github.io/Hyphenopoly/,"Hyphenopoly is a JavaScript library for providing robust hyphenation in HTML, especially while hyphenation remains patchily supported by web browsers, especially across multiple languages. Hyphenopoly provides hyphenation dictionaries and algorithms derived from Francis M Liang's classic TeX hyphenation algorithm. Hyphenopoly can be dropped in to any website. Hyphenopoly supercedes an earlier JS system Hyphenator.",not_classified,not_classified,,,not_classified
hypher,Hypher,2.5 (2016),http://www.bramstein.com/working/,Hy­pher is a hy­phen­ation en­gine writ­ten in JavaScript for web browsers using jQuery. It comes with hy­phen­ation dic­tio­nar­ies for more than 30 lan­guages.,significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
hypothesis,Hypothesis,1.161 (browser app),https://web.hypothes.is,"A conversation layer over the entire web that works everywhere, without needing implementation by any underlying site.",significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
hyrax,Hyrax,2,https://hyrax.samvera.org,Samvera provides a framework for building web applications on top of a repository back-end and a search index.,limited,tr9_actual_system_proven_in_operational_environment,repository,Samvera and Hyrax are [described here](https://hyrax.samvera.org/about/) and also https://github.com/samvera/hyrax/wiki/Hyrax-Management-Guide,not_classified
invenio,Invenio,,https://invenio-software.org/products/framework/,,limited,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
janeway,Janeway,1.3.5.1,https://janeway.systems/,"Janeway is journal management software developed by the Birkbeck Centre for Technology and Publishing for the Open Library of Humanities (OLH) at Birkbeck, University of London. Janeway integrates Crossref, iThenticate, Portico, and CLOCKSS services to provide a full-featured OA journal publishing platform. Janeway is a Django-based web application.",not_classified,not_classified,,,not_classified
jats,JATS,,https://jats.nlm.nih.gov,"JATS is an application of NISO Z39.96-2019, which defines a set of XML elements and attributes for tagging journal articles and describes three article models.",significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
java,Java,,,,significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
javascript,Javascript,,,,ubiquitous,tr9_actual_system_proven_in_operational_environment,,,not_classified
jupiter_notebook,Jupiter Notebook,current,http://jupyter.org/,"Jupyter Notebook is a web-based notebook environment for interactive computing, part of the mutifacted Project Jupyter (formerly iPython) which seeks to provide an open platform and toolkit for interactive and reproducible computing. It is a browser-based application that facilitates creation and sharing of documents that contain live code (over 40 programming languages), equations, visualizations, and narrative text. Jupyter Hub is a multi-user version for classrooms and labs. JupyterLab, released in 2018, provides a modern web-based user interface for Jupytern Notebooks. Jupyter's file format is a JSON document with hooks to interactive runtime kernels for specific languages and connections to big data sources.",significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
katex,KaTeX,0.10.2,https://katex.org/,KaTeX is a LaTeX-based typesetting tool for mathematical expressions developed by the Khan Academy. It is billed as the fastest math typesetting library for the web because it renders math in real time without the need to reflow the page. It is self-contained with no dependencies and can run server-side or in the browser.,not_classified,not_classified,,,not_classified
ldn,Linked Data Notifications,,https://www.w3.org/TR/ldn/,Linked Data Notifications is a general purpose notification protocol whereby any resource can advertise an inbox to which notifications pertaining to that resource can be posted.,limited,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
le-tex_transpect,le-tex Transpect,current,https://transpect.github.io/,"le-tex Transpect is an XProc- and XSLT-based framework and suite of modules for managing, schema checking, and converting from/to XML-based formats such as .docx, IDML, EPUB, HTML, DocBook, TEI and JATS. le-tex Transpect also provides a framework for combining modules into publishing workflows with revision control and custom, cascade-based configuration. le-tex Transpect can run standalone or integrated into publishing workflows. A simple upload interface and an HTTP API is available, as is hosted operation and maintenance agreements for professional use.",not_classified,not_classified,,,not_classified
lens,Lens,2.0.0,https://lens.elifesciences.org/about/#info/all,"Lens is an online article-reading environment developed by eLife that—by treating a JATS journal article as a database—makes it possible to explore figures, figure descriptions, references and more without losing one's place in the article text. Lens was designed using the Substance libraries. Much of its functionality is now in eLife's Libero Producer tool.",not_classified,not_classified,,,not_classified
libero_producer,Libero Producer,current,https://libero.pub/,"Libero Producer is the first of three journal publishing modules developed by eLife. Libero Producer is based on Substance.io's Texture editor which provides a visual, browser-based JATS XML editing and viewing interface.",not_classified,not_classified,,,not_classified
libero_publisher,Libero Publisher,,https://libero.pub/,"Libero Publisher is the third of three journal publishing modules developed by eLife. Libero Publisher provides post-production hosting, publication, and journal management functions, including dashboards, ElasticSearch, and APIs for third-party integration.",not_classified,not_classified,,,not_classified
libero_reviewer,Libero Reviewer,current,https://libero.pub/,Libero Reviewer is the second of three journal publishing modules developed by eLife. Libero Reviewer handles article submission and peer review workflow management. It is built on the Coko Foundation's PubSweet framework and was designed in collaboration with Coko and Hindawi.,not_classified,not_classified,,,not_classified
lodel,Lodel,1.03,http://www.lodel.org/index.html,Lodel is the journal publishing software for the French OpenEdition publishing platform. It provides content management and import/conversion to bring word processor documents into an XML-based article production environment.,not_classified,not_classified,,,not_classified
manifold_scholarship,Manifold Scholarship,3.0.1,https://manifoldapp.org/,"Manifold is a collaborative, web-based scholarly publishing system designed by the University of Minnesota Press and the CUNY Graduate Center. Manifold provides a dynamic approach to publishing book-length works capable of gathering commentary, annotation, and revisions within the publication. Built to publish long-form digital monographs, Manifold is also used in service of open educational resources, journals, and collaborative scholarly projects. Tt is currently used by twenty-eight publishers, including the University of Minnesota Press, the City University of New York, and the University of Arizona Press, as well as digital humanities centers and teaching and learning centers.",significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
mathjax,MathJax,v3 beta,https://www.mathjax.org/,"MathJax is a JavaScript display engine for mathematics typesetting that works in web browsers. It provides support for LaTeX, MathML, and AsciiMath in the  web based interace. MathJax has a modular design; it is designed for accessibility and interoperability with other applications.",not_classified,not_classified,,,not_classified
mukurtu,Mukurtu,2.1.2,http://mukurtu.org/,"Mukurtu is a content management system developed by Washington State University to serve as a repository for Indigenous communities to manage, share, and exchange their digital heritage in culturally relevant and ethically minded ways. Mukurtu has innovated significantly in developing access-oriented metadata that goes beyond typical OA ideals to support fine-grained Traditional Knowledge access protocols.",not_classified,not_classified,,,not_classified
oai-pmh,OAI-PMH,,https://www.openarchives.org/pmh/,The Open Archives Initiative Protocol for Metadata Harvesting (OAI-PMH) is a low-barrier mechanism for repository interoperability.,significant,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
ojs_3,Open Journal System,3,https://pkp.sfu.ca/ojs/,Open Journal Systems (OJS) is a journal management and publishing system that has been developed by the Public Knowledge Project through its federally funded efforts to expand and improve access to research.,significant,tr9_actual_system_proven_in_operational_environment,,https://github.com/pkp/ojs,not_classified
omeka,Omeka,Omeka S 1.4; Omeka Classic 2.7,https://omeka.org/,"Omeka is a web-based platform for creating and sharing digital collections and creating media-rich online exhibits. Initially developed at George Mason University and sustained by the Corporation for Digital Scholarship, Omeka has been primarily targeted towards libraries, museums, historical societies, and the like. Omeka enables institutions to publish collections and narrative exhibits to the web easily, but its publishing features, standards-based metadata, collection management, and authoring tools make it a publishing system more generally. Omeka S, a newer variant than Omeka Classic, supports multiple publications from a single installation, with a linked open data infrastructure.",significant,not_classified,,,not_classified
open_monograph_press,Open Monograph Press,3.1.2,https://pkp.sfu.ca/omp,"Open Monograph Press (OMP) is a book-oriented workflow manager and online publishing platform. Developed by the Public Knowledge Project, it shares its codebase with Open Journal Systems. OMP can handle monographs and edited volumes with multiple authors, as well as manage author submissions, editor assignments, reviewers, indexers, and others in book production. OMP is one of very few open-source tools that produce the trade-industry standard ONIX metadata. Its public-facing side can feature thumbnail covers in a vatalog view, as well as Spotlight marketing features.",not_classified,not_classified,,,not_classified
open_typesetting_stack,Open Typesetting Stack,current as of Aug 2018,https://pkp.sfu.ca/open-typesetting-stack/,"Open Typesetting Stack (OTS) is an article conversion/ingest service developed by the Public Knowledge Project to convert word-processor and PDF versions of articles into JATS XML for publication. OTS integrates a host of other parsing and conversion tools (including the machine-learning tool Grobid) and external services to provide the most accurate possible XML without additional user input. This service—and its OJS plugin integration—is intended to decrease the labour involved in production, and to facilitate the creation of archive-friendly and web-native article formats. OTS is in maintenance mode as of this writing.",limited,tr7_system_prototype_demonstration_in_operational_environment,,,not_classified
osf_preprints,OSF Preprints,,https://osf.io/preprints/,Branded preprint servers backed by the OSF.,limited,tr9_actual_system_proven_in_operational_environment,repository,"https://github.com/CenterForOpenScience/ember-preprints,not_classified
https://docs.google.com/spreadsheets/d/1SocElbBjc_Nhme4-SJv2_zytBd1ys8R5aZDb3POe94c/edit#gid=1340026270",not_classified
paged_js,paged.js,1.3.4,https://www.pagedmedia.org/paged.js,"Paged.js is a comprehensive print-oriented production system that runs on CSS and JavaScript in a web browser. Developed by the PagedMedia initiative, it aims to offer a best-of-breed CSS-based typesetter as open-source software. It can display both paginated output and editable CSS on a page so that the CSS can be tweaked and changes can be viewed in real time.",not_classified,not_classified,,,not_classified
pandoc,Pandoc,2.7.3,https://pandoc.org/,"Pandoc is a robust, multi-format document conversion tool that can read from and write to a vast number of file formats. Pandoc can work with a range of markup formats, markdown, word-processor files, and it supports integration with tools like LaTeX and reference managers, as well as a host of web-based formats. Several different input and exports formats for math are handled, including MathJax, LaTeX, and translation to MathML. Pandoc also includes a powerful system for automatic citations and bibliographies. Pandoc is usable as a command-line tool as well as an integrated library, and is used in several other publishing toolkits.",ubiquitous,tr9_actual_system_proven_in_operational_environment,,,not_classified
paperbuzz,Paperbuzz,1.0.0,https://www.paperbuzz.org/,"Paperbuzz is a tool that calculates metrics from Crossref Event Data: sharing, linking, and referencing articles online. Paperbuzz is developed and maintained by Our Research with the support of the Public Knowledge Project (PKP). Paperbuzz offers an API that is used by PaperbuzzViz, a JavaScript library to visualize the metrics and by the Paperbuzz OJS Plugin that brings these visualization to OJS article pages, both of which are developed and maintained by PKP.",not_classified,not_classified,,,not_classified
pci,Peer Community In,,https://peercommunityin.org,A free recommendation process of scientific preprints (and published articles) based on peer-reviews,not_classified,not_classified,repository,,not_classified
perl,Perl,,,,significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
phenom_reviewer,Phenom Reviewer,2.31,https://demo.review.hindawi.com,"Phenom Reviewer is Hindawi's article submission and editorial workflow module. It is built on the Coko Foundation’s PubSweet framework, and is designed in collaboration with Coko and eLife. Phenom Reviewer is part of a larger suite of tools in early development, which will comprise ""Producer"" and ""Publisher"" modules similar to eLife's Libero suite.",not_classified,not_classified,,,not_classified
phenom_screener,Phenom Screener,,https://demo.review.hindawi.com,"Phenom Screener is Hindawi's module that performs ethical and technical checks on article submissions including plagiarism screening, identity verification, materials checking, and fraud prevention.",not_classified,not_classified,,,not_classified
php,PHP,,,,significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
pressbooks,Pressbooks,5.8.0,https://pressbooks.com/,"Pressbooks is a web-based book editing and production system that exports in multiple formats: ebooks, webbooks, print-ready PDF, and various XML types. The system is built on top of Wordpress, but makes significant changes to the admin interface, presentation layer, and export routines to for web, ebook, and print formats. Pressbooks is widely used in the open textbook and open educational resouces community.",not_classified,not_classified,,,not_classified
prosemirror,ProseMirror,1.9.6 (prosemirror-view),http://prosemirror.net/,"ProseMirror is a JavaScript framework to develop visual text editors online. It can support collaborative editing in real time. It has a modular architecture that makes sure users only load the code they need, and can replace parts of the system as needed. ProseMirror supports extensible document schemas that allow users to edit documents with a custom structure without writing their own editor from scratch. It has a plugin system that allows users to easily enable additional functionality, and package their own extensions in a convenient format. Prosemirror is used by several major online news sources (NYTimes, Guardian), as well as inside tools like PubPub and Coko Foundation's Wax editor.",significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
pubpub,PubPub,6.0.0,https://pubpub.org,"PubPub is an online authoring and publishing platform developed by MIT Press and the MIT Knowledge Futures Group. It supports community-based collaborative drafting, review, and publication of scholarly work ""using an integrated and iterative process."" It supports journals, books, lab communications and events. PubPub is designed to be centrally hosted, and PubPub provides publishing services as part of a tiered-price hosting packages.",not_classified,not_classified,,,not_classified
pubsweet,PubSweet,current,http://pubsweet.coko.foundation,"PubSweet is a foundational system developed by Coko as a “component-based framework” upon which to build publishing tools. PubSweet is a simple but flexible way to adapt to different kinds of system needs. For instance, both the book-oriented Editoria and the journal-oriented Libero Reviewer are built on PubSweet foundations. PubSweet’s community includes Hindawi, eLife, Wormbase, Digital Science, and the EBI’s Europe PMC Plus platform.",not_classified,not_classified,,,not_classified
python,Python,,,,significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
quire,Quire,Alpha,https://github.com/gettypubs/quire,"Quire is a book production tool developed by the J Paul Getty Trust. It is a multiformat publishing framework that can create digital and print books, such as museum and gallery exhibition catalogues, collected volumes, and scholarly monographs. Quire is designed around the Hugo static-site generator tool, which can compile and export books, working from markdown source. Quire has extensive support for media, including rich image metadata handling. It is currently without an explicit open-source license.",not_classified,not_classified,,,not_classified
r,R,,,,limited,tr9_actual_system_proven_in_operational_environment,,,not_classified
readium,Readium,R2,https://readium.org/,"Readium provides a ""set of software building blocks"" for the development of standardized EPUB and web publication reader applications for a variety of contexts—browser-based, mobile app, and desktop. Readium is a set of libraries and frameworks, and also a foundation and international community dedicated to ebook implementation standards.",not_classified,not_classified,,,not_classified
rebus_ink,Rebus Ink,Alpha,https://rebus.ink/,"Rebus Ink is a web-based digital reading application built to help scholars construct arguments. It's a personal, online workspace that lets you do more with digital texts, focusing on scholarly reading and research, note-taking, citations, and collections management. Rebus Ink is built on open principles: open source, open web, open APIs, with a focus on user-data portability and privacy.",not_classified,not_classified,,,not_classified
resourcesync,ResourceSync,,http://www.openarchives.org/rs/1.1/resourcesync,This ResourceSync specification describes a synchronization framework for the web consisting of various capabilities that allow third-party systems to remain synchronized with a server's evolving resources. The capabilities may be combined in a modular manner to meet local or community requirements. This specification also describes how a server should advertise the synchronization capabilities it supports and how third-party systems may discover this information. The specification repurposes the document formats defined by the Sitemap protocol and introduces extensions for them.,limited,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
rua,Rua,3.1.8 alpha,https://github.com/ubiquitypress/rua,"Rua is a book publishing workflow management application developed by Ubiquity Press and is ""designed to assist with the monograph publishing life cycle"" from proposal to publication. Rua forms the core of the Ubiquity Book Manager service. Rua is designed around the Django framework.",not_classified,not_classified,,,not_classified
ruby,Ruby,,,,significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
rust,Rust,,,,limited,tr9_actual_system_proven_in_operational_environment,,,not_classified
samvera,Samvera,,https://samvera.org,The Samvera software offers flexible and rich user interfaces tailored to distinct content types on top of a robust back end – giving adopters the best of both worlds.,significant,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
scalar,Scalar,2.5.2,https://scalar.me/anvc/,"Scalar is a multimedia authoring and publishing platform developed by the Alliance for Networking Visual Culture at University of Southern California. Scalar is designed for long-form, digital native scholarly research. Scalar enables users to assemble media from multiple sources and juxtapose them with text in a variety of ways with minimal technical expertise required. The platform also supports collaborative authoring workflows and reader commentary.",not_classified,not_classified,,,not_classified
scholastica,Scholastica,,https://scholasticahq.com,"Professional peer review and open access publishing solutions for journal programs of any size.,not_classified
",not_classified,tr9_actual_system_proven_in_operational_environment,,,not_classified
shiny,Shiny,1.3.2,https://shiny.rstudio.com,Shiny is an authoring and editorial development software developed by RStudio. It allows users to interact with web-based interactive applications that contain data and analysis using R. Shiny can create standalone apps on a webpage or embed them in R Markdown documents or build dashboards. Shiny requires only a R installation and a web browser.,not_classified,not_classified,,,not_classified
solid,Solid,,https://solid.inrupt.com,"Solid is a set of modular specifications, which build on, and extend the founding technology of the world wide web (HTTP, REST, HTML). They are 100% backwards compatible with the existing web. Each spec, taken in isolation, provides extra features to an existing system.  However, when used in combination, they enable exciting new possibilities for web sites and applications.",limited,tr7_system_prototype_demonstration_in_operational_environment,,,not_classified
solr,Solr,,https://lucene.apache.org/solr/,"Solr is highly reliable, scalable and fault tolerant, providing distributed indexing, replication and load-balanced querying, automated failover and recovery, centralized configuration and more. Solr powers the search and navigation features of many of the world's largest internet sites.",significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
stencila,Stencila,0.28,https://stenci.la,"Stencila is an authoring and editorial development software developed by Code for Science & Society. It provides an integrated word processor, coding (R, Python, and SQL), and spreadsheet interface in the browser, and the resulting interactive document (using the same  file format used by the Texture editor, with which Stencila shares code) is shareable and publishable. Stencila's ""Converters"" module is a Pandoc-based collection of import and export routines. eLife's ""Reproducable Document Stack"" initiative is based on Stencila.",not_classified,not_classified,,,not_classified
sword,SWORD,,http://swordapp.org/about/,SWORD (Simple Web-service Offering Repository Deposit) is a lightweight protocol for depositing content from one location to another. It stands for Simple Web-service Offering Repository Deposit and is a profile of the Atom Publishing Protocol.,significant,tr9_actual_system_proven_in_operational_environment,repository,,not_classified
tectonic,Tectonic,0.1.11,https://tectonic-typesetting.github.io/en-US/,"Tectonic is a modern LaTeX typesetting application, designed to be self-contained and easy to install. It automatically downloads support files so users don’t have to install a full LaTeX system in order to start using Tectonic. Tectonic can use modern OpenType fonts and is fully Unicode-enabled.",not_classified,not_classified,,,not_classified
texture,Texture,2.3,http://substance.io/texture/,"Texture is an XML-based authoring and editing tool developed by the Substance Consortium, which includes PKP and eLife. Texture is a visual editor that natively produces a subset of JATS XML (inspired by JATS4R), which it encapsulates along with media and dependencies in its DAR file format. Texture offers a user-friendly editing XML interface, and can be integrated into other tools, such as OJS. eLife's Libero Producer is based on Texture, as is Stencila.",not_classified,not_classified,,,not_classified
typescript,Typescript,,,,limited,tr9_actual_system_proven_in_operational_environment,,,not_classified
ubiquity_repositories,Ubiquity Repositories,,https://www.u-repo.io,"Ubiquity repositories are cloud hosted and open source, with no lock-in. Suitable for both large and small institutions, they provide high-quality hosting of publications, special collections, theses, Open Educational Resources and research data all in one place.",not_classified,not_classified,,,not_classified
vega,Vega,0.3,http://vegapublish.com,"Vega is a media-rich authoring and editorial development platform hosted at Wayne State University Libraries. It offers a range of features and workflows to create, review, and share data, media, and text. Its ability to include information in a variety of representations (text, image, sound) makes it easier to communicate scholarly information to different audiences. Vega also supports typical academic publishing processes and gives users control over editorial and peer review workflows.",not_classified,not_classified,,,not_classified
vivliostyle,Vivliostyle,2019.1.106,https://vivliostyle.org/,"Vivliostyle is a CSS- and browser-based typesetting tool for digital and print publishing that adds book typography and layout capability of web browsers, supporting paginated EPUB and web publications or export to PDF. Vivliostyle complies with W3C standardization of CSS typesetting specifications. Vivliostyle.js was designed based on Peter Sorotokin's EPUB Adaptive Layout implementation.",not_classified,not_classified,,,not_classified
wax,Wax,active,https://coko.foundation/category/wax-editor/,"Wax is a web-based word processor developed by Coko. It is the styling/formatting interface in use within Editoria, and the manuscript annotation and presentation portal in use in PubSweet platforms such as eLife’s Libero Reviewer, and Hindawi’s Phenom. Editoria provides context-sensitive tagging and formatting and a track-changes workflow, as well as many features driven by the needs of university press workflows. The initial version of Wax was based on the Substance.io library (as with Texture); Wax 2 is based on the ProseMirror library.",not_classified,not_classified,,,not_classified
xproc,Xproc,,,,limited,tr9_actual_system_proven_in_operational_environment,,,not_classified
xslt,XSLT,,,,significant,tr9_actual_system_proven_in_operational_environment,,,not_classified
xsweet,XSweet,active,http://xsweet.coko.foundation/,"XSweet is Coko’s XSLT-based conversion/ingest tool for converting Microsoft Word documents (.docx) into HTML and beyond. XSweet extracts the contents of MS Word documents from their underlying XML into HTML, imported into an application, or used as a tool to convert it into another format altogether.",not_classified,not_classified,,,not_classified
zotero,Zotero,5.0.66,https://www.zotero.org/,"Zotero is a desktop and/or network-based reference-management software for scholars. It has the ability to organize, collect, and format references and bibliographies for MS Word, LibreOffice, Google Docs, and other text-editing software. It also supports an enormous number of citation styles, and also provides a well designed document (web and PDF) collection and note-taking facility. Zotero is a social network that facilitates group collaboration, sharing, and publishing of reference lists. Originally developed in 2006 at George Mason U, Zotero is now a robust desktop tool as well as a full-featured web application, used by over 5 million scholars.",significant,tr9_actual_system_proven_in_operational_environment,,,not_classified