id,name,description,url,codebase,notes,adoption_level,readiness_level,governance,business_form,slug,base_tech_list,depended_on_by,depends_on,functions,categories,hosting,pricing,release cycle,roadmap,status,licensing
49,Mukurtu,"Mukurtu is a content management system developed by Washington State University to serve as a repository for Indigenous communities to manage, share, and exchange their digital heritage in culturally relevant and ethically minded ways.",http://mukurtu.org/,https://github.com/MukurtuCMS/mukurtucms,,significant,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,fiscal_sponsor_academic,mukurtu,"php, javascript",,,"discovery, publishing",application,"self hosted, hosted (SaaS) version available through Reclaim Hosting","free to self-host, managed hosting from $30 USD annually",,https://github.com/MukurtuCMS/mukurtucms/blob/master/ROADMAP.md,actively_maintained,https://www.gnu.org/licenses/old-licenses/gpl-2.0.html
50,OAI-PMH,The Open Archives Initiative Protocol for Metadata Harvesting (OAI-PMH) is a low-barrier mechanism for repository interoperability.,https://www.openarchives.org/pmh/,,,significant,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_academic,oai-pmh,,,,discovery,standard,,,,,actively_maintained,http://creativecommons.org/licenses/by-sa/3.0/
51,Open Journal Systems,Open Journal Systems (OJS) is an open source software application for managing and publishing scholarly journals. ,https://pkp.sfu.ca/ojs/,https://github.com/pkp/ojs,,significant,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_academic,ojs_3,"php, javascript, smarty",,,"publishing, submission, creation, workflow",application,"self hosted, hosted (SaaS) version available through PKP Publishing Services (https://pkpservices.sfu.ca/)","free to self-host, managed hosting from $850 USD annually",,,actively_maintained,https://www.gnu.org/licenses/gpl-3.0.en.html
52,Omeka,"Omeka is a web-based platform for creating and sharing digital collections and creating media-rich online exhibits. Initially developed at George Mason University and sustained by the Corporation for Digital Scholarship, Omeka has been primarily targeted towards libraries, museums, historical societies, and the like. Omeka enables institutions to publish collections and narrative exhibits to the web easily, but its publishing features, standards-based metadata, collection management, and authoring tools make it a publishing system more generally. Omeka S, a newer variant than Omeka Classic, supports multiple publications from a single installation, with a linked open data infrastructure.",https://omeka.org/,https://github.com/omeka/Omeka,,significant,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,omeka,php,,,"publishing, discovery",application,"self hosted, hosted (Saas) version available through Omeka.net","free to self-host, managed hosting from $35 USD annually",,,actively_maintained,https://www.gnu.org/licenses/gpl-3.0.en.html
53,Open Monograph Press,"Open Monograph Press (OMP) is a book-oriented workflow manager and online publishing platform. Developed by the Public Knowledge Project, it shares its codebase with Open Journal Systems. OMP can handle monographs and edited volumes with multiple authors, as well as manage author submissions, editor assignments, reviewers, indexers, and others in book production. OMP is one of very few open-source tools that produce the trade-industry standard ONIX metadata. Its public-facing side can feature thumbnail covers in a vatalog view, as well as Spotlight marketing features.",https://pkp.sfu.ca/omp,https://github.com/pkp/omp,,limited,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_academic,open_monograph_press,"php, javascript, smarty",,,"publishing, submission, workflow, creation",application,"self hosted, hosted (SaaS) version available through PKP Publishing Services (https://pkpservices.sfu.ca/)","free to self-host, managed hosting from $1500 USD annually per press",,,actively_maintained,https://www.gnu.org/licenses/gpl-3.0.en.html
54,Open Typesetting Stack,"Open Typesetting Stack (OTS) is an article conversion/ingest service developed by the Public Knowledge Project to convert word-processor and PDF versions of articles into JATS XML for publication. OTS integrates a host of other parsing and conversion tools (including the machine-learning tool Grobid) and external services to provide the most accurate possible XML without additional user input. This service ""and its OJS plugin integration"" is intended to decrease the labour involved in production, and to facilitate the creation of archive-friendly and web-native article formats. OTS is in maintenance mode as of this writing.",,https://github.com/pkp/ots,,limited,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_academic,open_typesetting_stack,"javascript, php",,,"formatting, ingest, format_conversion",component,self-hosted,,,,unsupported,https://www.gnu.org/licenses/gpl-3.0.en.html
55,OSF Preprints,Branded preprint servers backed by the OSF.,https://osf.io/preprints/,https://github.com/CenterForOpenScience/ember-osf-preprints,"
 
 https://docs.google.com/spreadsheets/d/1SocElbBjc_Nhme4-SJv2_zytBd1ys8R5aZDb3POe94c/edit#gid=1340026270",significant,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,osf_preprints,"javascript, handlebars",,,"publishing, ingest, preservation, submission, discovery, metrics, workflow",application,"self-hosted, hosted (SaaS) available through OSF",managed hosting from $999 USD annually,,cos.io/products/product-roadmap,actively_maintained,   http://www.apache.org/licenses/LICENSE-2.0
56,paged.js,"Paged.js is a comprehensive print-oriented production system that runs on CSS and JavaScript in a web browser. Developed by the PagedMedia initiative, it aims to offer a best-of-breed CSS-based typesetter as open-source software. It can display both paginated output and editable CSS on a page so that the CSS can be tweaked and changes can be viewed in real time.",https://pagedjs.org,https://gitlab.pagedmedia.org/tools/pagedjs,,significant,tr9_actual_system_proven_in_operational_environment,not_classified,commercial_vendor,paged_js,javascript,,,formatting,component,self-hosted,free to use,,,actively_maintained,https://opensource.org/licenses/MIT 
57,Pandoc,"Pandoc is a robust, multi-format document conversion tool that can read from and write to a vast number of file formats. Pandoc can work with a range of markup formats, markdown, word-processor files, and it supports integration with tools like LaTeX and reference managers, as well as a host of web-based formats. Several different input and exports formats for math are handled, including MathJax, LaTeX, and translation to MathML. Pandoc also includes a powerful system for automatic citations and bibliographies. Pandoc is usable as a command-line tool as well as an integrated library, and is used in several other publishing toolkits.",https://pandoc.org/,https://github.com/jgm/pandoc,,ubiquitous,tr9_actual_system_proven_in_operational_environment,not_classified,volunteer_community,pandoc,haskell,,,format_conversion,package,self-hosted,free to use,,,actively_maintained,https://www.gnu.org/licenses/gpl-3.0.html
58,Paperbuzz,"Paperbuzz is a tool that calculates metrics from Crossref Event Data: sharing, linking, and referencing articles online. Paperbuzz is developed and maintained by Our Research with the support of the Public Knowledge Project (PKP). Paperbuzz offers an API that is used by PaperbuzzViz, a JavaScript library to visualize the metrics and by the Paperbuzz OJS Plugin that brings these visualizations to OJS article pages, both of which are developed and maintained by PKP.",https://www.paperbuzz.org/,https://github.com/pkp/paperbuzz,,limited,tr9_actual_system_proven_in_operational_environment,not_classified,fiscal_sponsor_non_profit,paperbuzz,"php, smarty",,,metrics,component,,free to use,,,actively_maintained,
59,Peer Community In,"The “Peer Community in” (PCI) is a non-profit scientific organization that aims to create specific communities of researchers reviewing and recommending, for free, unpublished preprints in their field",https://peercommunityin.org,,,significant,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,pci,,,,"review, discovery, reader_tools",application,hosted at https://peercommunityin.org/,free to use,,,actively_maintained,
61,Phenom Review,"Phenom Review is Hindawi's article submission and editorial workflow module. It is built on the Coko Foundation's PubSweet framework, and is designed in collaboration with Coko and eLife. Phenom Review is part of a larger suite of tools in early development, which will comprise ""Producer"" and ""Publisher"" modules similar to eLife's Libero suite.",https://www.hindawi.com/publishing-partnerships/phenom-system-and-publisher-services/,https://gitlab.com/hindawi/phenom,,single,tr9_actual_system_proven_in_operational_environment,not_classified,commercial_vendor,phenom_reviewer,typescript,,PubSweet,"ingest, workflow, review",application,hosted at https://www.hindawi.com/,,,,actively_maintained,https://opensource.org/licenses/MIT 
62,Phenom Screener,"Phenom Screener is Hindawi's module that performs ethical and technical checks on article submissions including plagiarism screening, identity verification, materials checking, and fraud prevention.",https://www.hindawi.com/publishing-partnerships/phenom-system-and-publisher-services/,https://gitlab.com/hindawi/xpub/xpub-screening,,single,tr9_actual_system_proven_in_operational_environment,not_classified,commercial_vendor,phenom_screener,typescript,,PubSweet,review,application,hosted at https://www.hindawi.com/,,,,actively_maintained,https://opensource.org/licenses/MIT 
64,Pressbooks,"Pressbooks is a web-based book editing and production system that exports in multiple formats: ebooks, webbooks, print-ready PDF, and various XML types. The system is built on top of Wordpress, but makes significant changes to the admin interface, presentation layer, and export routines to for web, ebook, and print formats. Pressbooks is widely used in the open textbook and open educational resouces community.",https://pressbooks.com/,https://github.com/pressbooks/pressbooks,,significant,tr9_actual_system_proven_in_operational_environment,not_classified,commercial_vendor,pressbooks,php,,,"publishing, creation, format_conversion",application,"self-hosted, hosting (SaaS) available through https://pressbooks.com","free to self-host, managed hosting pricing not available",,https://pressbooks.org/roadmap/,actively_maintained,https://www.gnu.org/licenses/gpl-3.0.html
65,ProseMirror,"ProseMirror is a JavaScript framework to develop visual text editors online. It can support collaborative editing in real time. It has a modular architecture that makes sure users only load the code they need, and can replace parts of the system as needed. ProseMirror supports extensible document schemas that allow users to edit documents with a custom structure without writing their own editor from scratch. It has a plugin system that allows users to easily enable additional functionality, and package their own extensions in a convenient format. Prosemirror is used by several major online news sources (NYTimes, Guardian), as well as inside tools like PubPub and Coko Foundation's Wax editor.",http://prosemirror.net/,https://github.com/prosemirror/,,significant,tr9_actual_system_proven_in_operational_environment,not_classified,individual,prosemirror,javascript,"PubPub, Wax",,creation,framework,self-hosted,free to use,,,actively_maintained,https://opensource.org/licenses/MIT 
66,PubPub,"PubPub is an online authoring and publishing platform developed by MIT Press and the MIT Knowledge Futures Group. It supports community-based collaborative drafting, review, and publication of scholarly work ""using an integrated and iterative process."" It supports journals, books, lab communications and events. PubPub is designed to be centrally hosted, and PubPub provides publishing services as part of a tiered-price hosting package.",https://pubpub.org,https://github.com/pubpub/pubpub,,limited,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,pubpub,"javascript, typescript",,ProseMirror,"creation, publishing, workflow, review",application,hosted at pubpub.org/,freemium,,https://notes.knowledgefutures.org/pub/pubpub-roadmap/release/27,actively_maintained,https://www.gnu.org/licenses/old-licenses/gpl-2.0.html
67,PubSweet,"PubSweet is a foundational system developed by Coko as a ""component-based framework"" upon which to build publishing tools. PubSweet is a simple but flexible way to adapt to different kinds of system needs. For instance, both the book-oriented Editoria and the journal-oriented Libero Reviewer are built on PubSweet foundations. PubSweet's community includes Hindawi, eLife, Wormbase, Digital Science, and the EBI's Europe PMC Plus platform.",http://pubsweet.coko.foundation,https://gitlab.coko.foundation/pubsweet,,limited,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,fiscal_sponsor_non_profit,pubsweet,javascript,"Editoria, Libero Producer, Libero Publisher, Phenom Reviewer, Phenom Screener, Wax, XSweet",,workflow,framework,self-hosted,free to use,,,actively_maintained,https://opensource.org/licenses/MIT 
69,Quire,"Quire is a book production tool developed by the J Paul Getty Trust. It is a multiformat publishing framework that can create digital and print books, such as museum and gallery exhibition catalogues, collected volumes, and scholarly monographs. Quire is designed around the Hugo static-site generator tool, which can compile and export books, working from markdown source. Quire has extensive support for media, including rich image metadata handling. It is currently without an explicit open-source license.",https://github.com/gettypubs/quire,,,single,tr3_experimental_proof_of_concept,not_classified,non_profit_organisation,quire,go,,hugo,"publishing, workflow",application,,free to use,,,actively_maintained,"© 2019 J. Paul Getty Trust
"
71,Readium,"Readium provides a ""set of software building blocks"" for the development of standardized EPUB and web publication reader applications for a variety of contexts—browser-based, mobile app, and desktop. Readium is a set of libraries and frameworks, and also a foundation and international community dedicated to ebook implementation standards.",https://readium.org/,https://github.com/readium,,limited,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,readium,"javascript, typescript, kotlin, swift",,,"reader_tools, formatting, format_conversion",framework,self-hosted,free to use,,,actively_maintained,https://opensource.org/licenses/BSD-3-Clause
72,Rebus Ink,"Rebus Ink is a web-based digital reading application built to help scholars construct arguments. It's a personal, online workspace that lets you do more with digital texts, focusing on scholarly reading and research, note-taking, citations, and collections management. Rebus Ink is built on open principles: open source, open web, open APIs, with a focus on user-data portability and privacy.",https://rebus.ink/,https://github.com/RebusFoundation,,single,tr3_experimental_proof_of_concept,community_formal,fiscal_sponsor_non_profit,rebus_ink,javascript,,,"reader_tools, creation",application,hosted at https://rebus.ink/,free to use,,https://rebus.ink/timeline/,actively_maintained,   http://www.apache.org/licenses/LICENSE-2.0
73,ResourceSync,"ResourceSync is a specification based on Sitemaps that can be used by repository managers to provide information that allows third-party systems to remain in sync with the resources in their repository as they evolve, i.e. are created, updated, deleted. Whereas basic Sitemaps allow exposing a repository inventory and crawl-related metadata, ResourceSync adds ways to expose changes only, and to provide expressive synchronization-related metadata as well as typed links for further discovery. ResourceSync can be used for discovery and synchronization of both content and metadata and uses the Sitemaps XML format.",http://www.openarchives.org/rs/1.1/resourcesync,,,limited,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,resourcesync,,,,discovery,standard,,free to use,,,actively_maintained,https://creativecommons.org/licenses/by-sa/4.0/
74,Rua,"Rua is a book publishing workflow management application developed by Ubiquity Press and is ""designed to assist with the monograph publishing life cycle"" from proposal to publication. Rua forms the core of the Ubiquity Book Manager service. Rua is designed around the Django framework.",https://www.ubiquitypress.com/,https://gitlab.com/ubiquitypress/rua,,single,tr3_experimental_proof_of_concept,community_formal,commercial_vendor,rua,"python, django",,,"publishing, workflow, formatting",application ,"self-hosted, hosting available from https://ubiquitypress.com/","free to self-host, managed hosting pricing not available",,,actively_maintained,https://www.gnu.org/licenses/gpl-3.0.html
77,Samvera,"Samvera is not one single software product; rather, it is a suite of components built and supported by the Samvera Community. In addition, Samvera draws on many more open source components, from the Blacklight discovery application, supported by an overlapping community, to Solr, maintained by the Apache Foundation and used widely and internationally across commerce, education and beyond. The aim of Samvera, as a community and software stack, is to work together to deliver common core repository functionality, in a way that can be flexibly applied to a range of use cases.",https://samvera.org,https://github.com/samvera,,significant,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,samvera,ruby,"Hyrax, Hyku","Fedora, Blacklight","discovery, publishing, submission, ingest, workflow, preservation","application, service",Ubiquity Press and HykuUP provide fully managed hosting of customized implementations of Samvera-powered software.,none,,,actively_maintained,https://www.apache.org/licenses/LICENSE-2.0
78,Scalar,"Scalar is a multimedia authoring and publishing platform developed by the Alliance for Networking Visual Culture at University of Southern California. Scalar is designed for long-form, digital native scholarly research. Scalar enables users to assemble media from multiple sources and juxtapose them with text in a variety of ways with minimal technical expertise required. The platform also supports collaborative authoring workflows and reader commentary.",https://scalar.me/anvc/,https://github.com/anvc/scalar,,limited,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,fiscal_sponsor_academic,scalar,"javascript, php",,,"creation, publishing, workflow",application,"self-hosted, hosting available from https://scalar.me/anvc/scalar/","free to self-host, free to host on Scalar domain, managed hosting available from https://reclaimhosting.com/ from $30 USD annually",,,actively_maintained,https://opensource.org/licenses/ECL-2.0
79,Scholastica,Professional peer review and open access publishing solutions for journal programs of any size.,https://scholasticahq.com,https://github.com/scholastica,,significant,tr9_actual_system_proven_in_operational_environment,not_classified,commercial_vendor,scholastica,"ruby, javascript",,,"publishing, review, workflow, formatting",package,managed hosting from https://scholasticahq.com/,managed hosting from $99 USD monthly,,,actively_maintained,https://opensource.org/licenses/MIT 
80,Shiny,Shiny is an authoring and editorial development software developed by RStudio. It allows users to interact with web-based interactive applications that contain data and analysis using R. Shiny can create standalone apps on a webpage or embed them in R Markdown documents or build dashboards. Shiny requires only a R installation and a web browser.,https://shiny.rstudio.com,https://github.com/rstudio/shiny,,significant,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,commercial_vendor,shiny,"R, javascript",,,creation,application,"self-hosted, managed hosting from https://shinyapps.io",freemium,,,actively_maintained,https://www.gnu.org/licenses/gpl-3.0.html
81,Solid,"Solid is a set of modular specifications, which build on, and extend the founding technology of the world wide web (HTTP, REST, HTML). They are 100% backwards compatible with the existing web. Each spec, taken in isolation, provides extra features to an existing system. However, when used in combination, they enable exciting new possibilities for web sites and applications.",https://solidproject.org/,https://github.com/solid,,limited,tr3_experimental_proof_of_concept,not_classified,commercial_vendor,solid,"javascript, typescript, handlebars",Dokieli,,discovery,service,"self-hosted, managed hosting from https://inrupt.net",,,,actively_maintained,https://opensource.org/licenses/MIT 
82,Solr,Solr is a standalone enterprise search server with a REST-like API. Solr powers the search and navigation features of many of the world's largest internet sites.,https://lucene.apache.org/solr/,https://github.com/apache/lucene-solr,,significant,tr9_actual_system_proven_in_operational_environment,not_classified,commercial_vendor,solr,java,"Blacklight, Samvera, Hyrax, Hyku ",,discovery,component,self-hosted,free to use,,https://cwiki.apache.org/confluence/display/SOLR/Roadmap,actively_maintained,https://www.apache.org/licenses/LICENSE-2.0
83,Stencila,"Stencila is an authoring and editorial development software developed by Code for Science & Society. It provides an integrated word processor, coding (R, Python, and SQL), and spreadsheet interface in the browser, and the resulting interactive document (using the same file format used by the Texture editor, with which Stencila shares code) is shareable and publishable. Stencila's ""Converters"" module is a Pandoc-based collection of import and export routines. eLife's ""Reproducable Document Stack"" initiative is based on Stencila.",https://stenci.la,https://github.com/stencila,,limited,tr9_actual_system_proven_in_operational_environment,not_classified,commercial_vendor,stencila,"typescript, python, R",,Pandoc,"creation, formatting, reader_tools, publishing, format_conversion",application,managed hosting from https://stenci.la,freemium,,,actively_maintained,https://www.apache.org/licenses/LICENSE-2.0
84,SWORD,SWORD (Simple Web-service Offering Repository Deposit) is a lightweight protocol for depositing content from one location to another. SWORD is a profile of the Atom Publishing Protocol.,http://swordapp.org/about/,https://github.com/swordapp,,limited,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,not_classified,sword,"java, php, perl, python, ruby",,,"discovery, ingest",standard,self-hosted,free to use,,,actively_maintained,https://opensource.org/licenses/BSD-3-Clause
85,Tectonic,"Tectonic is a modern LaTeX typesetting application, designed to be self-contained and easy to install. It automatically downloads support files so users don't have to install a full LaTeX system in order to start using Tectonic. Tectonic can use modern OpenType fonts and is fully Unicode-enabled.",https://tectonic-typesetting.github.io/en-US/,https://github.com/tectonic-typesetting/tectonic,,not_classified,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,volunteer_community,tectonic,"C, TeX, Rust, C++",,,formatting,component,self-hosted,free to use,,,actively_maintained,https://opensource.org/licenses/MIT 
86,Texture,"Texture is an XML-based authoring and editing tool developed by the Substance Consortium, which includes PKP and eLife. Texture is a visual editor that natively produces a subset of JATS XML (inspired by JATS4R), which it encapsulates along with media and dependencies in its DAR file format. Texture offers a user-friendly editing XML interface, and can be integrated into other tools, such as OJS. eLife's Libero Producer is based on Texture, as is Stencila.",,https://github.com/substance/texture,,limited,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,fiscal_sponsor_non_profit,texture,javascript,,,creation,component,self-hosted,free to use,,https://trello.com/b/JqGMLWbw/texture-development,unsupported,https://www.gnu.org/licenses/gpl-3.0.html
88,Ubiquity Repositories,"Ubiquity repositories are cloud hosted and open source, with no lock-in. Suitable for both large and small institutions, they provide high-quality hosting of publications, special collections, theses, Open Educational Resources and research data all in one place.",https://www.u-repo.io,https://gitlab.com/ubiquitypress,,limited,tr9_actual_system_proven_in_operational_environment,not_classified,commercial_vendor,ubiquity_repositories,ruby,,Hyku,"publishing, discovery, ingest, workflow",application,managed hosting from https://www.u-repo.io/,hosted pricing not available,,,actively_maintained,
89,Vega,"Vega is a media-rich authoring and editorial development platform hosted at Wayne State University Libraries. It offers a range of features and workflows to create, review, and share data, media, and text. Its ability to include information in a variety of representations (text, image, sound) makes it easier to communicate scholarly information to different audiences. Vega also supports typical academic publishing processes and gives users control over editorial and peer review workflows.",http://vegapublish.com,https://github.com/VegaPublish/vega,,not_classified,tr3_experimental_proof_of_concept,not_classified,fiscal_sponsor_academic,vega,"javascript, go",,,"publishing, workflow, review, creation",application,self-hosted,free to use,,http://www.vegapublish.info/2020/03/03/roadmap/,actively_maintained,https://opensource.org/licenses/MIT 
90,Vivliostyle,"Vivliostyle is a CSS- and browser-based typesetting tool for digital and print publishing that adds book typography and layout capability of web browsers, supporting paginated EPUB and web publications or export to PDF. Vivliostyle complies with W3C standardization of CSS typesetting specifications. Vivliostyle.js was designed based on Peter Sorotokin's EPUB Adaptive Layout implementation.",https://vivliostyle.org/,https://github.com/vivliostyle,,limited,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,fiscal_sponsor_non_profit,vivliostyle,"typescript, javascript",,,formatting,application,self-hosted,free to use,,https://github.com/vivliostyle/community/issues/60,actively_maintained,https://www.gnu.org/licenses/agpl-3.0.en.html
91,Wax,"Wax is a web-based word processor developed by Coko. It is the styling/formatting interface in use within Editoria, and the manuscript annotation and presentation portal in use in PubSweet platforms such as eLife's Libero Reviewer, and Hindawi's Phenom. Editoria provides context-sensitive tagging and formatting and a track-changes workflow, as well as many features driven by the needs of university press workflows. The initial version of Wax was based on the Substance.io library (as with Texture); Wax 2 is based on the ProseMirror library.",https://coko.foundation/category/wax-editor/,https://gitlab.coko.foundation/wax/wax/,,not_classified,tr3_experimental_proof_of_concept,community_ad_hoc,fiscal_sponsor_non_profit,wax,javascript,Editoria,ProseMirror,"formatting, annotation, creation",component,"self-hosted, hosted (SaaS) option available via https://cloud68.co/","free to self-host, hosting starting at €708 annually as part of Editoria",,,actively_maintained,https://opensource.org/licenses/MIT 
94,XSweet,"XSweet is a free, open source conversion tool for converting Microsoft Word documents (.docx) into HTML and beyond. Built as a series of XSL (eXtensible Stylesheet Language) transformation steps, it’s designed to be modular and flexible. Use it out of the box, or modify and extend it to meet your needs. XSweet is being developed by Cabbage Tree Labs.",https://xsweet.org/,https://gitlab.coko.foundation/XSweet,,limited,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,fiscal_sponsor_non_profit,xsweet,"ruby, xslt",Wax,,format_conversion,component,self-hosted,,,https://gitlab.coko.foundation/XSweet/XSweet,actively_maintained,https://opensource.org/licenses/MIT 
95,Zotero,"Zotero is a desktop and/or network-based reference-management software for scholars. It has the ability to organize, collect, and format references and bibliographies for MS Word, LibreOffice, Google Docs, and other text-editing software. It also supports an enormous number of citation styles, and also provides a well designed document (web and PDF) collection and note-taking facility. Zotero is a social network that facilitates group collaboration, sharing, and publishing of reference lists. Originally developed in 2006 at George Mason U, Zotero is now a robust desktop tool as well as a full-featured web application, used by over 5 million scholars.",https://www.zotero.org/,https://github.com/zotero/zotero,,significant,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,fiscal_sponsor_non_profit,zotero,javascript,,,reader_tools,package,"self-hosted, cloud storage available from https://www.zotero.org",freemium,,,actively_maintained,https://www.gnu.org/licenses/agpl-3.0.en.html